"id";"parent_id";"level";"objectid";"objecttype";"querystatus";"querytime";"querytype";"name";"message";"type";"metadata.type";"talking_about_count";"likes";"likes.count";"shares.count";"comments.count";"created_time";"updated_time"
"538";"13";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:29.033000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"539";"14";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:29.184000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"540";"15";"2";"1215470931899011_1216614971784607";"data";"fetched (200)";"2017-05-03 23:53:29.318000";"Facebook:<video>/comments";"";"Me gustaria saber cuando piensan ingresar en cuenta loa dividendos que abertis pago el dia 24 de abril.";"";"";"";"";"";"";"";"2017-04-27T11:11:52+0000";""
"541";"15";"2";"242465215866259_1215470931899011";"offcut";"fetched (200)";"2017-05-03 23:53:29.318000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"542";"16";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:29.452000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"543";"17";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:29.586000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"544";"18";"2";"1214396995339738_1214701221975982";"data";"fetched (200)";"2017-05-03 23:53:29.715000";"Facebook:<video>/comments";"";"Para informarme de la feria de abril seréis los mejores, pero el trato que yo he recibido hoy en una de vuestras oficinas deja mucho que desear simplemente porque no tenía cuenta en BBVA. Lo que no sabía esa señora de la caja es que mis padres si que tienen sus cuentas allí, entre otras cosas. Quizás deberían darles algún curso de marketing a sus empleados para que entiendan que cualquier persona que entra por la puerta es un cliente potencial o como en este caso, una ocasión perdida y una mala imagen que me llevo de su empresa. Saludos.";"";"";"";"";"";"";"";"2017-04-25T15:16:00+0000";""
"545";"18";"2";"1214396995339738_1214725601973544";"data";"fetched (200)";"2017-05-03 23:53:29.715000";"Facebook:<video>/comments";"";"Crey que era la feria de jerez me e llevado un decilucion";"";"";"";"";"";"";"";"2017-04-25T15:34:37+0000";""
"546";"18";"2";"1214396995339738_1214725931973511";"data";"fetched (200)";"2017-05-03 23:53:29.715000";"Facebook:<video>/comments";"";"Era la de sevilla";"";"";"";"";"";"";"";"2017-04-25T15:35:01+0000";""
"547";"18";"2";"1214396995339738_1214874625291975";"data";"fetched (200)";"2017-05-03 23:53:29.715000";"Facebook:<video>/comments";"";"no eo ficar em casa";"";"";"";"";"";"";"";"2017-04-25T18:21:22+0000";""
"548";"18";"2";"1214396995339738_1215598228552948";"data";"fetched (200)";"2017-05-03 23:53:29.715000";"Facebook:<video>/comments";"";"Yolanda Menadas Tortajada quédate con el punto 4 💃🏻";"";"";"";"";"";"";"";"2017-04-26T11:33:28+0000";""
"549";"18";"2";"1214396995339738_1218388244940613";"data";"fetched (200)";"2017-05-03 23:53:29.715000";"Facebook:<video>/comments";"";"Me gusta";"";"";"";"";"";"";"";"2017-04-28T23:48:35+0000";""
"550";"18";"2";"242465215866259_1214396995339738";"offcut";"fetched (200)";"2017-05-03 23:53:29.715000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"551";"19";"2";"1213158028796968_1213349482111156";"data";"fetched (200)";"2017-05-03 23:53:29.860000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"2017-04-24T12:42:32+0000";""
"552";"19";"2";"1213158028796968_1214737531972351";"data";"fetched (200)";"2017-05-03 23:53:29.860000";"Facebook:<video>/comments";"";"Lo que deben facilitar es la amortización de préstamos online.... Que BBVA no lo permite a diferencia de decenas de entidades. Bbva españa";"";"";"";"";"";"";"";"2017-04-25T15:50:19+0000";""
"553";"19";"2";"1213158028796968_1219645884814849";"data";"fetched (200)";"2017-05-03 23:53:29.860000";"Facebook:<video>/comments";"";"Lo que tienen q hacer es pasar las transferencias cuando las tienen q pasar... Q no es normal esperar 5 días (de momento) para que se haga un abono en otra cuenta!!";"";"";"";"";"";"";"";"2017-04-30T06:54:30+0000";""
"554";"19";"2";"242465215866259_1213158028796968";"offcut";"fetched (200)";"2017-05-03 23:53:29.860000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"555";"20";"2";"10211983945409358_10211996375080092";"data";"fetched (200)";"2017-05-03 23:53:30.004000";"Facebook:<video>/comments";"";"Siii deja que tu asesor se conecte y te saque todo el dinero de la cuenta . La directora de la sucursal de la oficina de gil de haz de Oviedo es especialista .!!!!!!!
No lo dudes llámala  ya !!!!!!!!";"";"";"";"";"";"";"";"2017-04-25T14:00:20+0000";""
"556";"20";"2";"10211983945409358_10212021440106702";"data";"fetched (200)";"2017-05-03 23:53:30.004000";"Facebook:<video>/comments";"";"Servicio y calidad que deja mucho que desear!!! Muy decepcionado con las trabas que ponen cuando a BBVA le interesa, asi como una ineficaz atencion al cliente que no te ayuda en la resolucion de problemas. Mas de 20 años como cliente que se van a ir al traste. Uds mismos se cierran sus puertas.";"";"";"";"";"";"";"";"2017-04-27T23:20:40+0000";""
"557";"20";"2";"242465215866259_10211983945409358";"offcut";"fetched (200)";"2017-05-03 23:53:30.004000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"558";"21";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:30.152000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"559";"22";"2";"1205809049531866_1212533118859459";"data";"fetched (200)";"2017-05-03 23:53:30.295000";"Facebook:<video>/comments";"";"Si verdaderamente este banco te controla el dinero tanto, que sin tu permiso y si tienes dos cuentas te sacan el dinero de la cuenta sin decirte nada y te la dejan a cero....";"";"";"";"";"";"";"";"2017-04-23T19:04:41+0000";""
"560";"22";"2";"242465215866259_1205809049531866";"offcut";"fetched (200)";"2017-05-03 23:53:30.295000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"561";"23";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:30.441000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"562";"24";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:30.576000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"563";"25";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:30.709000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"564";"26";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:30.843000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"565";"28";"2";"1205789206200517_1208370869275684";"data";"fetched (200)";"2017-05-03 23:53:30.978000";"Facebook:<video>/comments";"";"Hay alguna persona que tenga coche y no desee ahorrar dinero en combustible?";"";"";"";"";"";"";"";"2017-04-19T20:41:37+0000";""
"566";"28";"2";"1205789206200517_1208398052606299";"data";"fetched (200)";"2017-05-03 23:53:30.978000";"Facebook:<video>/comments";"";"Yo pedí el cuadro de amortización hace 10 dias, y no me ha llegado, me dijisteis que 5 días... encima que cobrais.";"";"";"";"";"";"";"";"2017-04-19T21:27:38+0000";""
"567";"28";"2";"1205789206200517_1208998582546246";"data";"fetched (200)";"2017-05-03 23:53:30.978000";"Facebook:<video>/comments";"";"Por qué la empresa ESCO me manda un sms diciéndome que tengo que llamarles por un tema relacionado con BBVA España?????";"";"";"";"";"";"";"";"2017-04-20T10:59:44+0000";""
"568";"28";"2";"242465215866259_1205789206200517";"offcut";"fetched (200)";"2017-05-03 23:53:30.978000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"569";"29";"2";"1207786359334135_1208214085958029";"data";"fetched (200)";"2017-05-03 23:53:31.134000";"Facebook:<video>/comments";"";"Bueno, me comentastes que si cobrava y no me llegava el aviso el mismo dia te avisara, y así a sido otra vez!";"";"";"";"";"";"";"";"2017-04-19T17:02:58+0000";""
"570";"29";"2";"242465215866259_1207786359334135";"offcut";"fetched (200)";"2017-05-03 23:53:31.134000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"571";"30";"2";"1205779692868135_1207249066054531";"data";"fetched (200)";"2017-05-03 23:53:31.280000";"Facebook:<video>/comments";"";"Mayte De La Rosa Sanchez";"";"";"";"";"";"";"";"2017-04-18T20:05:20+0000";""
"572";"30";"2";"1205779692868135_1214383605341077";"data";"fetched (200)";"2017-05-03 23:53:31.280000";"Facebook:<video>/comments";"";"Sigue existiendo la cuenta ahoro";"";"";"";"";"";"";"";"2017-04-25T08:42:55+0000";""
"573";"30";"2";"242465215866259_1205779692868135";"offcut";"fetched (200)";"2017-05-03 23:53:31.280000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"574";"31";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:31.424000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"575";"32";"2";"1205985856180852_1221292131316891";"data";"fetched (200)";"2017-05-03 23:53:31.561000";"Facebook:<video>/comments";"";"Llevo 2 meses esperando por una Incidencia. La última vez que llame me dijeron que el plazo máximo para resolverlo son 2 años. Que puedo hacer para saber cuando me van a solucionar mi problema";"";"";"";"";"";"";"";"2017-05-01T17:08:27+0000";""
"576";"32";"2";"242465215866259_1205985856180852";"offcut";"fetched (200)";"2017-05-03 23:53:31.561000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"577";"33";"2";"1205514309561340_1207067032739401";"data";"fetched (200)";"2017-05-03 23:53:31.710000";"Facebook:<video>/comments";"";"Hoy en día la gente se complica mucho la vida. Parecen mas minibodas con toda la parafernalia.";"";"";"";"";"";"";"";"2017-04-18T15:58:37+0000";""
"578";"33";"2";"242465215866259_1205514309561340";"offcut";"fetched (200)";"2017-05-03 23:53:31.710000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"579";"34";"2";"1204746942971410_1204964819616289";"data";"fetched (200)";"2017-05-03 23:53:31.852000";"Facebook:<video>/comments";"";"Barriendo para su casa";"";"";"";"";"";"";"";"2017-04-16T17:22:56+0000";""
"580";"34";"2";"242465215866259_1204746942971410";"offcut";"fetched (200)";"2017-05-03 23:53:31.852000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"581";"35";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:31.994000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"582";"36";"2";"1200322840080487_1202878176491620";"data";"fetched (200)";"2017-05-03 23:53:32.131000";"Facebook:<video>/comments";"";"NO";"";"";"";"";"";"";"";"2017-04-14T21:19:10+0000";""
"583";"36";"2";"242465215866259_1200322840080487";"offcut";"fetched (200)";"2017-05-03 23:53:32.131000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"584";"37";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:32.279000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"585";"38";"2";"1198479230264848_1201853933260711";"data";"fetched (200)";"2017-05-03 23:53:32.422000";"Facebook:<video>/comments";"";"Hola se puede abrir cuenta desde argentina ¿? gracias";"";"";"";"";"";"";"";"2017-04-13T17:46:57+0000";""
"586";"38";"2";"1198479230264848_1216838651762239";"data";"fetched (200)";"2017-05-03 23:53:32.422000";"Facebook:<video>/comments";"";"Hay que ser justos y hoy dia 27 bbva me devuelve las cantidades de mas por clasulassuelo";"";"";"";"";"";"";"";"2017-04-27T16:02:10+0000";""
"587";"38";"2";"242465215866259_1198479230264848";"offcut";"fetched (200)";"2017-05-03 23:53:32.422000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"588";"39";"2";"";"empty";"fetched (200)";"2017-05-03 23:53:32.569000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"589";"40";"2";"1199750263471078_1200485356730902";"data";"fetched (200)";"2017-05-03 23:53:32.704000";"Facebook:<video>/comments";"";"Lo peor de lo peor. Seguros bbva. Nos valora esta averia en 133 euros sin autorizarla. Nos esta costando mas llamar al 902 que por cierto es ilegal. Lo peor. El año que viene me borro de seguros bbva";"";"";"";"";"";"";"";"2017-04-12T12:55:23+0000";""
"590";"40";"2";"242465215866259_1199750263471078";"offcut";"fetched (200)";"2017-05-03 23:53:32.704000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"591";"41";"2";"1199146293531475_1202434859869285";"data";"fetched (200)";"2017-05-03 23:53:32.840000";"Facebook:<video>/comments";"";"Mira yo tengo un móvil se me ha caído y no anda más por favor si me das la dirección cuando puedo lo llevo gracias.";"";"";"";"";"";"";"";"2017-04-14T10:16:04+0000";""
"592";"41";"2";"242465215866259_1199146293531475";"offcut";"fetched (200)";"2017-05-03 23:53:32.840000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"593";"42";"2";"1198326103613494_1198338130278958";"data";"fetched (200)";"2017-05-03 23:53:33.002000";"Facebook:<video>/comments";"";"y los fondos fijos?";"";"";"";"";"";"";"";"2017-04-10T12:30:01+0000";""
"594";"42";"2";"1198326103613494_1198622840250487";"data";"fetched (200)";"2017-05-03 23:53:33.002000";"Facebook:<video>/comments";"";"Buenas tardes, tengo contratado con este banco el seguro de hogar y estoy esperando al perito desde hace tres meses, es eso norma?.";"";"";"";"";"";"";"";"2017-04-10T18:33:31+0000";""
"595";"42";"2";"242465215866259_1198326103613494";"offcut";"fetched (200)";"2017-05-03 23:53:33.002000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"596";"43";"2";"1195211830591588_1197749343671170";"data";"fetched (200)";"2017-05-03 23:53:33.154000";"Facebook:<video>/comments";"";"A ver si me enviáis ya lo que os he pedido que antaño lo facilitabais en la web desde el primer mes hasta el final y ahora solo el presente y futuro, el cuadro de amortización de mi hipoteca.
La he solicitado en mi oficina y me dicen que no me hace falta, les digo que a ellos que más les da si me hace o no falta, quiero saber cuanto he pagado de más y no que me lo calculeis solo vosotros, lo he pagado y quiero saberlo.
Pues bien en mi oficina no me lo dieron, fui a otra oficina y me lo enseñaron en pantalla pero tampoco, llamé a atención al cliente y tampoco y lo solicité en bbva responde en la web y tampoco.
Tenéis muy poca vergüenza";"";"";"";"";"";"";"";"2017-04-09T21:19:50+0000";""
"597";"43";"2";"1195211830591588_1198167333629371";"data";"fetched (200)";"2017-05-03 23:53:33.154000";"Facebook:<video>/comments";"";"I need help urgently... I used the message but no reply..";"";"";"";"";"";"";"";"2017-04-10T08:21:36+0000";""
"598";"43";"2";"242465215866259_1195211830591588";"offcut";"fetched (200)";"2017-05-03 23:53:33.154000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"599";"44";"2";"1195209933925111_1197355663710538";"data";"fetched (200)";"2017-05-03 23:53:33.302000";"Facebook:<video>/comments";"";"Un poco tarde Teresa Gar jajaj para la próxima ya lo sabemos";"";"";"";"";"";"";"";"2017-04-09T13:49:59+0000";""
"600";"44";"2";"242465215866259_1195209933925111";"offcut";"fetched (200)";"2017-05-03 23:53:33.302000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"601";"45";"2";"1195197033926401_1196664383779666";"data";"fetched (200)";"2017-05-03 23:53:33.449000";"Facebook:<video>/comments";"";"Podríais explicarme cómo funciona pagar con teléfono? Tengo descargado la aplicación Wallet pero hace falta algo más? Porque no consigo hacerla funcionar en los datafonos.";"";"";"";"";"";"";"";"2017-04-08T21:17:06+0000";""
"602";"45";"2";"1195197033926401_1198240350288736";"data";"fetched (200)";"2017-05-03 23:53:33.449000";"Facebook:<video>/comments";"";"Totalmente decepcionante el servicio bbva";"";"";"";"";"";"";"";"2017-04-10T10:16:23+0000";""
"603";"45";"2";"242465215866259_1195197033926401";"offcut";"fetched (200)";"2017-05-03 23:53:33.449000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"604";"46";"2";"1195046040608167_1196244707154967";"data";"fetched (200)";"2017-05-03 23:53:33.592000";"Facebook:<video>/comments";"";"Poner cláusulas que BBVA es muyyyuyy experto";"";"";"";"";"";"";"";"2017-04-08T14:24:29+0000";""
"605";"46";"2";"1195046040608167_1196244957154942";"data";"fetched (200)";"2017-05-03 23:53:33.592000";"Facebook:<video>/comments";"";"Yo me quiero separar de  BBVA que tengo que hacer?";"";"";"";"";"";"";"";"2017-04-08T14:24:58+0000";""
"606";"46";"2";"1195046040608167_1196279450484826";"data";"fetched (200)";"2017-05-03 23:53:33.592000";"Facebook:<video>/comments";"";"Estas condenao hasta q te toque la loteria como yo tambe lo estoy";"";"";"";"";"";"";"";"2017-04-08T15:05:42+0000";""
"607";"46";"2";"1195046040608167_1196284927150945";"data";"fetched (200)";"2017-05-03 23:53:33.592000";"Facebook:<video>/comments";"";"Y como hacemos para que nos devuelvan los gastos notariales,de gestoria, tasac";"";"";"";"";"";"";"";"2017-04-08T15:13:44+0000";""
"608";"46";"2";"1195046040608167_1196285977150840";"data";"fetched (200)";"2017-05-03 23:53:33.592000";"Facebook:<video>/comments";"";"Tasación etc,a la que tenemos derecho?vais a poner pegas?";"";"";"";"";"";"";"";"2017-04-08T15:14:48+0000";""
"609";"46";"2";"1195046040608167_1196288930483878";"data";"fetched (200)";"2017-05-03 23:53:33.592000";"Facebook:<video>/comments";"";"Vaya comentarios..Elevad instancias al SAC o defensor del cliente,banco de España y juzgado.Por aquí no se soluciona nada.Animo!.";"";"";"";"";"";"";"";"2017-04-08T15:17:02+0000";""
"610";"46";"2";"1195046040608167_1196336680479103";"data";"fetched (200)";"2017-05-03 23:53:33.592000";"Facebook:<video>/comments";"";"Como si al banco le importara algo...";"";"";"";"";"";"";"";"2017-04-08T16:09:31+0000";""
"611";"46";"2";"242465215866259_1195046040608167";"offcut";"fetched (200)";"2017-05-03 23:53:33.592000";"Facebook:<video>/comments";"";"";"";"";"";"";"";"";"";"";""
"612";"47";"2";"1194388014007303_1195564243889680";"data";"fetched (200)";"2017-05-03 23:53:33.750000";"Facebook:<video>/comments";"";"CASO BBVA:  3 de Abril  sin noticias y sin dinero !!
* 1 de Febrero: Habrá Devolución Express cuando el Supremo Aclare el Esquema a Seguir.
* 15 de Febrero: El Supremo Tumba el recurso de BBVA y Declara la Retroactividad Total.
BBVA actuará cuando reciba la Sentencia indica
* 28 de Febrero: Se hace Pública la Sentencia y BBVA la Recibe.
* 3 de Abril : Sin Noticias, Sin El Dinero..";"";"";"";"";"";"";"";"2017-04-07T19:52:19+0000";""
